City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Chipinge,-20.1883,32.6236,287.29,92,75,2.41,ZW,1714254000
81,Bilibino,68.0546,166.4372,268.89,71,81,1.24,RU,1714253911
82,Yigo village,13.5361,144.8886,300.78,82,40,5.14,GU,1714254000
83,San patricio,28.017,-97.5169,303.2,72,74,10.25,US,1714253917
84,Zhongshu,24.5167,103.7667,287.57,50,0,0.67,CN,1714254000
85,Korla,41.7597,86.1469,283.15,18,100,11.77,CN,1714253653
86,Havre,49.5833,0.3333,284.37,100,75,5.14,FR,1714253912
87,Zhosaly,45.4878,64.0781,285.42,20,0,4.22,KZ,1714254000
88,Port isabel,26.0734,-97.2086,302.19,81,100,8.75,US,1714253421
89,Isyangulovo,52.1909,52.1909,291.3,49,95,7.51,RU,1714254001
90,Shakawe,-18.3667,21.85,292.36,40,4,3.2,BW,1714254001
91,Gracias,14.5833,-88.5833,299.35,64,100,1.69,HN,1714254001
92,Nyurba,63.2842,118.3319,264.34,94,93,1.74,RU,1714254001
93,Labytnangi,66.6572,66.4183,270.03,99,91,1.32,RU,1714254001
94,Tashtagol,52.7657,87.8894,276.22,87,5,0.89,RU,1714254001
95,Puerto baquerizo moreno,-0.9,-89.6,301.7,74,75,5.14,EC,1714253918
96,Touros,-5.1989,-35.4608,300.2,80,100,4.24,BR,1714254001
97,Nizhnesortymskiy,62.4397,71.7603,275.51,100,100,3.55,RU,1714254001
98,Bengkulu,-3.8004,102.2655,298.0,92,100,2.18,ID,1714253941
99,Saint-leu,-21.15,55.2833,298.63,79,76,0.83,RE,1714254002
100,Badger,64.8,-147.5333,285.29,38,0,3.6,US,1714253921
101,Santo domingo zanatepec,16.4831,-94.3475,306.75,43,1,3.99,MX,1714254002
102,Keflavik,64.0049,-22.5624,281.1,81,20,7.2,IS,1714253932
103,Strelka,58.0728,93.0344,273.45,94,100,1.83,RU,1714254002
104,Coruripe,-10.1256,-36.1756,299.38,81,100,4.54,BR,1714254002
105,Saint-pierre,-21.3393,55.4781,298.97,78,100,1.54,RE,1714253784
106,Ulladulla,-35.35,150.4667,288.7,74,0,1.81,AU,1714253936
107,College,64.8569,-147.8028,285.33,42,20,3.6,US,1714253901
108,Soroti,1.7146,33.6111,292.55,90,88,2.85,UG,1714254002
109,Ust-nera,64.5667,143.2,266.69,94,91,2.89,RU,1714253915
110,Thompson,55.7435,-97.8558,273.24,34,0,2.57,CA,1714253844
111,Wotho,10.1657,166.0102,300.78,77,70,8.21,MH,1714254002
112,Lata,40.1629,-8.3327,283.1,95,32,0.98,PT,1714253936
113,Aral,40.5156,81.2636,290.64,24,100,4.89,CN,1714254002
114,Gantang,26.92,119.6333,292.93,99,100,0.34,CN,1714254002
115,Greymouth,-42.4667,171.2,286.31,72,71,1.66,NZ,1714253911
116,Puerto natales,-51.7236,-72.4875,278.4,75,100,4.12,CL,1714253902
117,Poso,-1.3959,120.7524,298.49,84,92,1.66,ID,1714254003
118,Port elizabeth,-33.918,25.5701,292.09,87,63,2.24,ZA,1714253901
119,Pasni,25.2631,63.471,299.16,80,36,4.63,PK,1714254003
120,Punta arenas,-53.15,-70.9167,278.21,70,75,14.4,CL,1714253903
121,Alice springs,-23.7,133.8833,278.9,75,91,3.09,AU,1714253943
122,Remire-montjoly,4.9167,-52.2667,301.17,83,100,3.09,GF,1714253754
123,Murashi,59.3999,48.9615,283.96,93,100,5.8,RU,1714254003
124,Oyama,36.3,139.8,292.92,75,0,0.25,JP,1714254003
125,Portland,45.5234,-122.6762,285.32,78,100,4.02,US,1714254003
126,Utrik,11.2278,169.8474,300.89,78,99,6.7,MH,1714253905
127,Milevsko,49.4509,14.36,282.48,80,4,3.04,CZ,1714254003
128,Ribeira grande,38.5167,-28.7,288.58,74,27,3.13,PT,1714253901
129,Xai-xai,-25.0519,33.6442,295.51,60,80,5.4,MZ,1714254004
130,Bredasdorp,-34.5322,20.0403,289.42,88,41,3.26,ZA,1714253656
131,Geraldton,-28.7667,114.6,286.38,62,74,3.09,AU,1714253910
132,Invercargill,-46.4,168.35,282.05,98,19,1.34,NZ,1714253900
133,Stanley,54.868,-1.6985,278.02,90,0,1.03,GB,1714253869
134,Tucuma,-0.1833,-50.05,298.37,91,100,3.33,BR,1714254004
135,Afaahiti,-17.75,-149.2833,303.08,83,58,9.35,PF,1714253914
136,Adiake,5.2863,-3.304,301.35,84,79,3.18,CI,1714254004
137,Levin,-40.6333,175.275,286.86,73,4,0.76,NZ,1714254004
138,Zouerate,22.7187,-12.4521,297.1,50,100,9.22,MR,1714254004
139,Lebu,-37.6167,-73.65,284.4,70,9,1.82,CL,1714253921
140,Urzhar,47.093,81.6294,278.53,33,29,3.36,KZ,1714254005
141,Margaret river,-33.95,115.0667,288.93,85,100,4.0,AU,1714253899
142,Shunyi,40.125,116.6453,286.12,71,100,2.0,CN,1714254005
143,Karratha,-20.7377,116.8463,298.62,70,2,3.07,AU,1714253925
144,Hamilton,39.1834,-84.5333,299.06,54,0,7.2,US,1714253917
145,Yuzhno-kurilsk,44.0306,145.8556,281.14,96,45,4.03,RU,1714254005
146,Kisangani,0.5167,25.2,295.14,97,55,1.41,CD,1714254005
147,Uturoa,-16.7333,-151.4333,301.54,76,47,9.78,PF,1714253906
148,Lazaro cardenas,17.9583,-102.2,300.99,62,22,3.82,MX,1714253908
149,Paita,-5.0892,-81.1144,296.62,75,68,6.41,PE,1714254005
